ds,y,is_spike,yhat
2020-06-01,53659,False,
2020-07-01,55301,False,
2020-08-01,43939,False,
2020-09-01,39940,False,
2020-10-01,52631,False,
2020-11-01,53903,False,
2020-12-01,42004,False,
2021-01-01,45106,False,
2021-02-01,51676,False,
2021-03-01,39441,False,
2021-04-01,60101,False,
2021-05-01,55360,False,
2021-06-01,64681,False,
2021-07-01,63912,False,
2021-08-01,68484,False,
2021-09-01,74030,False,
2021-10-01,87054,False,
2021-11-01,88989,False,
2021-12-01,79727,False,
2022-01-01,79693,False,
2022-02-01,70132,False,
2022-03-01,68236,False,
2022-04-01,93465,False,
2022-05-01,72528,False,
2022-06-01,69031,False,
2022-07-01,76845,False,
2022-08-01,63507,False,
2022-09-01,63378,False,
2022-10-01,67243,False,
2022-11-01,63427,False,
2022-12-01,68176,False,
2023-01-01,70107,False,
2023-02-01,62814,False,
2023-03-01,55273,False,
2023-04-01,80721,False,
2023-05-01,34404,False,
2023-06-01,38432,False,
2023-07-01,48895,False,
2023-08-01,37567,False,
2023-09-01,43756,False,
2023-10-01,53940,False,
2023-11-01,78114,False,
2023-12-01,30083,False,
2024-01-01,27747,False,
2024-02-01,29444,False,
2024-03-01,27746,False,
2024-04-01,41213,False,
2024-05-01,26463,False,
2024-06-01,29038,False,29293.11258865248
2024-07-01,55808,False,28962.763804457954
2024-08-01,28204,False,28632.415020263423
2024-09-01,30591,False,28302.0662360689
2024-10-01,32315,False,27971.717451874367
2024-11-01,28598,False,27641.368667679835
2024-12-01,26801,False,27311.019883485304
2025-01-01,22869,False,26980.67109929078
2025-02-01,26326,False,26650.322315096255
2025-03-01,18245,False,26319.973530901723
2025-04-01,19773,False,25989.62474670719
2025-05-01,18314,False,25659.27596251266
