ds,y,is_spike,yhat
2020-06-01,55947,False,
2020-07-01,52504,False,
2020-08-01,24334,False,
2020-09-01,42859,False,
2020-10-01,36185,False,
2020-11-01,49759,False,
2020-12-01,52982,False,
2021-01-01,45427,False,
2021-02-01,44557,False,
2021-03-01,40179,False,
2021-04-01,57028,False,
2021-05-01,61786,False,
2021-06-01,68917,False,
2021-07-01,75684,False,
2021-08-01,69420,False,
2021-09-01,71084,False,
2021-10-01,82290,False,
2021-11-01,95066,False,
2021-12-01,94473,False,
2022-01-01,121241,True,
2022-02-01,76605,False,
2022-03-01,60149,False,
2022-04-01,106083,False,
2022-05-01,75356,False,
2022-06-01,62927,False,
2022-07-01,79209,False,
2022-08-01,83629,False,
2022-09-01,66690,False,
2022-10-01,85813,False,
2022-11-01,76448,False,
2022-12-01,75322,False,
2023-01-01,74964,False,
2023-02-01,72857,False,
2023-03-01,52040,False,
2023-04-01,101544,False,
2023-05-01,44246,False,
2023-06-01,39669,False,
2023-07-01,42953,False,
2023-08-01,29661,False,
2023-09-01,67599,False,
2023-10-01,41678,False,
2023-11-01,45281,False,
2023-12-01,26241,False,
2024-01-01,46503,False,
2024-02-01,45383,False,
2024-03-01,61667,False,
2024-04-01,55145,False,
2024-05-01,85203,False,
2024-06-01,33576,False,38152.611812099734
2024-07-01,58050,False,51539.69866666667
2024-08-01,62503,False,51539.69866666667
2024-09-01,59610,False,51539.69866666667
2024-10-01,54222,False,51539.69866666667
2024-11-01,60438,False,51539.69866666667
2024-12-01,54067,False,51539.69866666667
2025-01-01,53982,False,51539.69866666667
2025-02-01,49352,False,51539.69866666667
2025-03-01,64498,False,51539.69866666667
2025-04-01,65752,False,51539.69866666667
2025-05-01,48428,False,51539.69866666667
